model_name,train_scope,date,target_lang,BLEU,ChrF++,notes
helsinki/v5/phase_2/model_step_28000,multi,2024-11-12 11:04:45,wixarika,0.9,10.456,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_33000,multi,2024-11-12 11:04:47,ashaninka,0.399,13.927,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_0,multi,2024-11-12 11:05:15,nahuatl,0.11,5.429,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_33000,multi,2024-11-12 11:06:29,bribri,0.464,8.265,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_50000,multi,2024-11-12 11:06:35,ashaninka,0.742,14.233,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_0,multi,2024-11-12 11:07:45,raramuri,0.032,5.7,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_33000,multi,2024-11-12 11:07:46,guarani,0.885,16.168,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_50000,multi,2024-11-12 11:08:20,bribri,0.749,8.836,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_33000,multi,2024-11-12 11:08:39,quechua,0.275,18.837,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_50000,multi,2024-11-12 11:09:37,guarani,0.968,18.529,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_0,multi,2024-11-12 11:10:14,wixarika,0.705,6.361,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_33000,multi,2024-11-12 11:10:21,aymara,0.215,12.212,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_50000,multi,2024-11-12 11:10:37,quechua,0.483,22.691,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_33000,multi,2024-11-12 11:12:03,shipibo_konibo,0.515,13.86,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_50000,multi,2024-11-12 11:12:20,aymara,0.346,14.204,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_50000,multi,2024-11-12 11:14:03,shipibo_konibo,0.816,14.29,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_33000,multi,2024-11-12 11:14:04,chatino,4.851,25.853,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_33000,multi,2024-11-12 11:14:53,hñähñu,0.151,9.28,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_50000,multi,2024-11-12 11:16:06,chatino,4.816,27.118,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_50000,multi,2024-11-12 11:16:57,hñähñu,0.136,9.19,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_33000,multi,2024-11-12 11:17:34,raramuri,0.143,10.266,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_50000,multi,2024-11-12 11:17:58,nahuatl,0.756,10.526,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_33000,multi,2024-11-12 11:19:16,wixarika,0.515,11.138,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_50000,multi,2024-11-12 11:19:43,raramuri,0.147,10.864,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_50000,multi,2024-11-12 11:21:27,wixarika,0.666,11.824,time cut short dev on 0.3*12 of langs
helsinki/v6/phase_2/model_step_195000,multi,2024-11-12 12:58:21,ashaninka,0.338,11.869,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_155000,multi,2024-11-12 12:58:24,ashaninka,0.637,13.48,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_175000,multi,2024-11-12 12:58:29,ashaninka,0.601,12.323,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_180000,multi,2024-11-12 12:58:32,ashaninka,0.778,12.322,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_175000,multi,2024-11-12 12:59:59,bribri,0.821,10.33,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_180000,multi,2024-11-12 13:00:00,bribri,0.738,10.043,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_155000,multi,2024-11-12 13:00:05,bribri,0.858,9.824,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_195000,multi,2024-11-12 13:00:57,guarani,1.846,20.699,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_175000,multi,2024-11-12 13:01:03,guarani,1.291,20.686,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_195000,multi,2024-11-12 12:59:50,bribri,0.532,10.151,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_180000,multi,2024-11-12 13:01:10,guarani,1.413,19.925,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_155000,multi,2024-11-12 13:01:36,guarani,1.161,19.695,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_195000,multi,2024-11-12 13:02:06,quechua,0.96,24.366,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_175000,multi,2024-11-12 13:02:09,quechua,0.708,24.615,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_180000,multi,2024-11-12 13:02:26,quechua,0.776,23.659,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_155000,multi,2024-11-12 13:02:36,quechua,0.576,24.146,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_195000,multi,2024-11-12 13:03:34,aymara,0.421,14.912,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_175000,multi,2024-11-12 13:03:39,aymara,0.658,15.04,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_180000,multi,2024-11-12 13:03:54,aymara,0.586,14.274,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_155000,multi,2024-11-12 13:04:19,aymara,0.592,15.247,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_195000,multi,2024-11-12 13:05:03,shipibo_konibo,0.479,13.978,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_175000,multi,2024-11-12 13:05:10,shipibo_konibo,0.717,13.325,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_180000,multi,2024-11-12 13:05:24,shipibo_konibo,0.866,13.285,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_155000,multi,2024-11-12 13:06:03,shipibo_konibo,0.657,13.843,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_195000,multi,2024-11-12 13:07:03,chatino,4.863,27.285,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_175000,multi,2024-11-12 13:07:16,chatino,4.969,26.174,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_180000,multi,2024-11-12 13:07:28,chatino,5.089,26.572,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_195000,multi,2024-11-12 13:07:46,hñähñu,0.278,9.074,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_175000,multi,2024-11-12 13:07:57,hñähñu,0.273,8.87,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_180000,multi,2024-11-12 13:08:11,hñähñu,0.492,8.65,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_155000,multi,2024-11-12 13:08:17,chatino,5.264,26.526,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_195000,multi,2024-11-12 13:08:35,nahuatl,0.225,9.912,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_175000,multi,2024-11-12 13:08:48,nahuatl,0.491,9.792,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_180000,multi,2024-11-12 13:09:03,nahuatl,0.643,9.578,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_155000,multi,2024-11-12 13:09:05,hñähñu,0.434,10.117,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_155000,multi,2024-11-12 13:10:03,nahuatl,0.621,10.803,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_195000,multi,2024-11-12 13:10:05,raramuri,0.203,10.893,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_175000,multi,2024-11-12 13:10:18,raramuri,0.317,10.551,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_180000,multi,2024-11-12 13:10:31,raramuri,0.271,10.447,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_195000,multi,2024-11-12 13:11:34,wixarika,0.455,11.654,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_155000,multi,2024-11-12 13:11:46,raramuri,0.188,11.098,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_175000,multi,2024-11-12 13:11:49,wixarika,0.579,11.837,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_180000,multi,2024-11-12 13:12:01,wixarika,0.847,11.708,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_1,multi,2024-11-12 13:12:12,spanish,20.692,37.538,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_100000,multi,2024-11-12 13:13:21,ashaninka,0.323,12.279,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_155000,multi,2024-11-12 13:13:30,wixarika,1.091,12.841,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_100000,multi,2024-11-12 13:15:06,bribri,0.568,8.985,changed direction of spa-->eng and validated on all langs
helsinki/v5/phase_1,multi,2024-11-12 13:16:17,spanish,3.443,12.926,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_100000,multi,2024-11-12 13:16:26,guarani,0.798,18.757,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_100000,multi,2024-11-12 13:17:32,quechua,0.456,21.864,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_100000,multi,2024-11-12 13:19:17,aymara,0.391,13.769,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_100000,multi,2024-11-12 13:21:02,shipibo_konibo,0.557,13.481,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_100000,multi,2024-11-12 13:23:04,chatino,5.343,27.35,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_100000,multi,2024-11-12 13:23:52,hñähñu,0.337,8.99,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_100000,multi,2024-11-12 13:24:52,nahuatl,0.207,9.904,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_100000,multi,2024-11-12 13:26:38,raramuri,0.222,10.181,changed direction of spa-->eng and validated on all langs
helsinki/v6/phase_2/model_step_100000,multi,2024-11-12 13:28:23,wixarika,0.85,11.592,changed direction of spa-->eng and validated on all langs
sheff_new_tok/ashaninka,bi,2024-11-13 22:58:06,ashaninka,0.07,19.053,bilinugal sheff style with new tokenizer
sheff_new_tok/bribri,bi,2024-11-13 23:22:41,bribri,0.481,11.326,bilinugal sheff style with new tokenizer
sheff_new_tok/guarani,bi,2024-11-14 04:15:09,guarani,1.77,19.234,bilinugal sheff style with new tokenizer
sheff_new_tok/quechua,bi,2024-11-14 17:35:58,quechua,0.534,19.1,bilinugal sheff style with new tokenizer
sheff_new_tok/aymara,bi,2024-11-14 18:15:06,aymara,1.628,17.137,bilinugal sheff style with new tokenizer
sheff_new_tok/shipibo_konibo,bi,2024-11-14 22:54:32,shipibo_konibo,0.181,15.996,bilinugal sheff style with new tokenizer
sheff_new_tok/hñähñu,bi,2024-11-15 14:37:01,hñähñu,0.048,11.165,bilinugal sheff style with new tokenizer
sheff_new_tok/nahuatl,bi,2024-11-15 15:05:52,nahuatl,0.215,13.79,bilinugal sheff style with new tokenizer
sheff_new_tok/chatino,bi,2024-11-15 15:23:18,chatino,8.093,37.023,bilinugal sheff style with new tokenizer
sheff_new_tok/wixarika,bi,2024-11-16 16:37:58,wixarika,3.38,19.302,bilinugal sheff style with new tokenizer
sheff_new_tok/raramuri,bi,2024-11-16 17:33:03,raramuri,0.071,9.06,bilinugal sheff style with new tokenizer
test_gen/without_gen,bi,2024-11-18 10:15:26,encypted english,28.761,44.458,"encrypted english (gne_Test) gen test, without <gen> encrypted monolingual addition"
test_gen/with_gen,other,2024-11-18 10:16:18,encypted english,18.225,40.125,"encrypted english (gne_Test) gen test, with <gen> encrypted monolingual addition"
